tconst,primaryTitle,startYear
tt0081055,Lightning Over Water,1980
tt0081059,Lion of the Desert,1980
tt0081060,Little Darlings,1980
tt0081063,Little Miss Marker,1980
tt0081070,The Long Good Friday,1980
tt0081071,The Long Riders,1980
tt0081073,Loophole,1981
tt0081076,Loulou,1980
tt0081079,Love in a Taxi,1980
tt0081081,Contraband,1980
tt0081083,The Lucky Star,1980
tt0081086,Lulu,1980
tt0081089,Il lupo e l'agnello,1980
tt0081092,Hasan the Rose,1980
tt0081093,Lyudi v okeane,1980
tt0081097,An Old Kung Fu Master,1980
tt0081099,Madicken på Junibacken,1980
tt0081104,All That Jack's,1980
tt0081106,To Love the Damned,1980
tt0081109,The Man Who Saw Tomorrow,1981
tt0081110,The Man with Bogart's Face,1980
tt0081111,Manganinnie,1980
tt0081113,Morning Undersea,1980
tt0081114,Maniac,1980
tt0081115,City After Dark,1980
tt0081124,Maravillas,1981
tt0081139,Mater amatísima,1980
tt0081144,McVicar,1980
tt0081146,Me olvidé de vivir,1980
tt0081148,Alexander the Great,1980
tt0081150,Melvin and Howard,1980
tt0081159,Midnight Madness,1980
tt0081160,Milka - A Film About Taboos,1980
tt0081163,The Mirror Crack'd,1980
tt0081164,Misterio,1980
tt0081165,The Mystery of Oberwald,1980
tt0081168,Return of the Sentimental Swordsman,1981
tt0081169,Model,1981
tt0081174,Momentos,1981
tt0081176,Mon oncle d'Amérique,1980
tt0081182,Death Watch,1980
tt0081183,Mosch,1980
tt0081184,Motel Hell,1980
tt0081187,The Mountain Men,1980
tt0081193,Further Than Fear,1980
tt0081195,Muerte de un magnate,1981
tt0081197,Bordello,1981
tt0081204,Mur murs,1981
tt0081207,My Bodyguard,1980
tt0081211,A mérközés,1981
tt0081214,The Highway of Life,1980
tt0081216,The Leg Fighters,1980
tt0081218,Navajeros,1980
tt0081219,The Naxalites,1980
tt0081221,Der Neger Erwin,1981
tt0081230,Night of the Juggler,1980
tt0081235,Nijinsky,1980
tt0081237,The Ninth Configuration,1980
tt0081239,"Child Fidencio, the Healer of Espinazo",1981
tt0081242,No Nukes,1980
tt0081244,Nochnoye proishestviye,1981
tt0081254,Narcissus and Psyche,1980
tt0081261,I Hate Blondes,1980
tt0081262,Odnazhdy dvadtsat let spustya,1981
tt0081265,The Offenders,1980
tt0081266,Oficio de tinieblas,1981
tt0081267,"Ogaryova, 6",1981
tt0081270,Ojciec królowej,1980
tt0081271,A Fox Hunt,1980
tt0081274,Olimpiada 40,1980
tt0081276,On a volé la cuisse de Jupiter,1980
tt0081277,On the Nickel,1980
tt0081280,One-Trick Pony,1980
tt0081283,Ordinary People,1980
tt0081287,Othello,1980
tt0081288,Tora-san's Tropical Fever,1980
tt0081291,Out of the Blue,1980
tt0081292,Oxalá,1980
tt0081294,Ozhidanie,1981
tt0081295,Paciorki jednego rózanca,1980
tt0081298,The Palace,1980
tt0081299,Palermo or Wolfsburg,1980
tt0081304,Parangelia!,1980
tt0081312,Confusion,1981
tt0081313,Exit: Dead End,1981
tt0081318,City of the Living Dead,1980
tt0081323,"Pepi, Luci, Bom and Other Girls Like Mom",1980
tt0081330,La petite sirène,1980
tt0081331,Petria's Wreath,1980
tt0081332,"Petrovka, 38",1980
tt0081335,Phoelix,1980
tt0081339,Pile ou face,1980
tt0081349,A pogány madonna,1981
tt0081350,The Tale of John and Mary,1980
tt0081362,Posledniy pobeg,1981
tt0081363,Shortcuts,1981
tt0081367,Pozorisna veza,1980
tt0081373,Prins hatt under jorden,1980
tt0081375,Private Benjamin,1980
tt0081376,The Private Eyes,1980
tt0081378,Defiant Delta,1980
tt0081379,Microphone Test,1980
tt0081385,La provinciale,1980
tt0081386,Przed odlotem,1980
tt0081387,Psy,1981
tt0081388,Pugovitsa,1981
tt0081389,Dot Dot comma Dash,1980
tt0081396,The Girl from Millelire Street,1981
tt0081398,Raging Bull,1980
tt0081401,Ram and Balram,1980
tt0081404,The Rebel Intruders,1980
tt0081405,The Rebel,1980
tt0081408,Purity of Heart,1980
tt0081414,Resurrection,1980
tt0081415,Night of the Werewolf,1981
tt0081427,Ricomincio da tre,1981
tt0081428,The Ring of Death,1980
tt0081430,Amin: The Rise and Fall,1981
tt0081431,Rising Damp,1980
tt0081438,"Rosita Alvirez, destino sangriento",1982
tt0081441,Rude Boy,1980
tt0081446,Rycerz,1980
tt0081453,Satah Se Uthata Aadmi,1980
tt0081455,Scanners,1981
tt0081469,Se acabó el petróleo,1980
tt0081470,The Sea Wolves,1980
tt0081480,Seems Like Old Times,1980
tt0081485,Serial,1980
tt0081486,Seuls,1981
tt0081491,The Pride,1980
tt0081494,Return to the 36th Chamber,1980
tt0081497,She mao he hun xing quan,1980
tt0081499,The Young Master,1980
tt0081501,Job Hunter,1981
