tconst,primaryTitle,startYear
tt0100477,The Rescuers Down Under,1990
tt0100478,Restlessness,1991
tt0100479,Return Home,1990
tt0100485,Revenge,1990
tt0100486,Reversal of Fortune,1990
tt0100488,Rich Girl,1991
tt0100491,Riff-Raff,1991
tt0100495,Black River,1991
tt0100496,My New Partner at the Races,1990
tt0100501,The Road to God Knows Where,1990
tt0100508,Rodrigo D: No futuro,1990
tt0100511,Romeo,1990
tt0100512,Romeo.Juliet,1990
tt0100519,Rosencrantz & Guildenstern Are Dead,1990
tt0100521,Roy,1990
tt0100522,Ruby and Rata,1990
tt0100524,Rue du Bac,1991
tt0100530,The Russia House,1990
tt0100534,Dolly and Her Lover,1990
tt0100536,"No Fear, No Die",1990
tt0100540,The Cherry Orchard,1990
tt0100545,San ren xin shi jie,1990
tt0100546,Sandino,1991
tt0100557,The Nasty Girl,1990
tt0100558,Schweitzer,1990
tt0100560,Schönberg,1990
tt0100563,The Second Circle,1990
tt0100581,The Sect,1991
tt0100587,Branches of the Tree,1990
tt0100590,Shapka,1990
tt0100594,The Sheltering Sky,1990
tt0100598,Mortuary Blues,1990
tt0100602,A Shock to the System,1990
tt0100604,Short Time,1990
tt0100605,Skinny Tiger and Fatty Dragon,1990
tt0100609,Shuai gui qiao qiang jiao,1990
tt0100610,The Revenge of Angel,1990
tt0100615,Silence = Death,1990
tt0100621,Simon les nuages,1990
tt0100623,Singapore Sling,1990
tt0100624,Sink or Swim,1990
tt0100625,A Chinese Ghost Story II,1990
tt0100626,Sleeping Beauty,1990
tt0100629,Le sixième doigt,1990
tt0100650,Night Sun,1990
tt0100656,O Som da Terra a Tremer,1990
tt0100657,La sombra del ciprés es alargada,1990
tt0100668,To Play or To Die,1990
tt0100670,The Spirit of '76,1990
tt0100680,Stanley & Iris,1990
tt0100681,Everybody's Fine,1990
tt0100685,State of Grace,1990
tt0100686,The Station,1990
tt0100690,Stein,1991
tt0100691,Stella,1990
tt0100692,Step Across the Border,1990
tt0100698,Story from Croatia,1991
tt0100699,On Tour,1990
tt0100704,Strawberry Road,1991
tt0100709,Struck by Lightning,1990
tt0100712,Sügis,1990
tt0100714,Sukiny deti,1991
tt0100717,Meiyou taiyang de rizi,1990
tt0100720,Surfers: The Movie,1990
tt0100731,Szédülés,1990
tt0100732,Twilight,1990
tt0100738,You Can't Live Like That,1990
tt0100740,Tales from the Darkside,1990
tt0100743,Tank 'Klim Voroshilov-2',1990
tt0100746,Homework,1991
tt0100747,Auntie Danielle,1990
tt0100757,Taxi Blues,1990
tt0100758,Teenage Mutant Ninja Turtles,1990
tt0100761,La teranyina,1990
tt0100768,That's Black Entertainment,1990
tt0100774,Thousand Pieces of Gold,1990
tt0100775,Through the Wire,1990
tt0100777,A Moment of Romance,1990
tt0100780,Tichá bolest,1991
tt0100781,Tides of War,1990
tt0100783,La tigra,1990
tt0100784,The Law,1990
tt0100789,Crackdown,1991
tt0100791,To Sleep with Anger,1990
tt0100793,Todo por la pasta,1991
tt0100794,Tokyo Heaven,1990
tt0100802,Total Recall,1990
tt0100807,Tracce di vita amorosa,1990
tt0100814,Tremors,1990
tt0100819,Tsarskaya okhota,1990
tt0100820,Tugumi,1990
tt0100822,Tune in Tomorrow...,1990
tt0100823,Tunnelkind,1990
tt0100827,Two Evil Eyes,1990
tt0100828,The Two Jakes,1990
tt0100829,Con el amor no se juega,1991
tt0100835,Ultrà,1991
tt0100837,Un jeu d'enfant,1990
tt0100841,Un été après l'autre,1990
tt0100845,Unde la soare e frig,1991
tt0100847,Une histoire inventée,1990
tt0100851,Uranus,1990
tt0100858,Vidma,1990
tt0100862,Verriegelte Zeit,1990
tt0100866,Viaggio d'amore,1990
tt0100869,La vie des morts,1991
tt0100872,Louvre City,1990
tt0100873,Vincent & Theo,1990
tt0100878,Una vita scellerata,1990
tt0100890,Vracenky,1991
tt0100891,Vrag naroda - Bukharin,1991
tt0100893,The Time of Warriors,1991
tt0100899,Waiting for the Light,1990
tt0100902,Love Is Love,1990
tt0100909,Weekend with Kate,1990
tt0100910,Wei Si Li zhi ba wang xie jia,1991
tt0100912,Werner - Beinhart!,1990
tt0100913,Werther,1990
tt0100915,What the Moon Saw,1990
tt0100922,Where Eagles Fly,1990
tt0100924,Where the Heart Is,1990
tt0100928,White Hunter Black Heart,1990
tt0100929,White Room,1990
tt0100931,Why Me?,1990
tt0100935,Wild at Heart,1990
tt0100944,The Witches,1990
tt0100946,Without You I'm Nothing,1990
tt0100952,Words for the Dying,1990
tt0100959,When Fortune Smiles,1990
tt0100961,Wu ming jia zu,1990
tt0100962,Wu tai jie mei,1990
tt0100963,King of Beggars,1992
tt0100966,Story of Kennedy Town,1990
tt0100967,Tiger Cage II,1990
tt0100969,Hong Kong Gigolo,1990
tt0100972,Xiao xing chuang di qiu,1990
tt0100973,The Swordsman,1990
tt0100974,Front Page,1990
tt0100977,Yama,1990
tt0100987,A Home Too Far,1990
tt0100988,Going It Alone,1990
tt0100990,"I, the Worst of All",1990
tt0100994,Young Guns II,1990
tt0100995,Dragon in Jail,1990
tt0100998,Dreams,1990
tt0101002,Hong Kong Corruptor,1990
tt0101003,Freeze Die Come to Life,1990
tt0101009,Pantyhose Hero,1990
tt0101010,Zhi ming de you huo,1990
tt0101015,Zhuo gui he jia huan,1990
tt0101020,Once a Thief,1991
tt0101025,"¡Ay, Carmela!",1990
tt0101244,100 Days,1991
tt0101252,29th Street,1991
tt0101257,A unsprezecea porunca,1991
tt0101258,Days of Being Wild,1990
